Lead ID	Job Title	Language	Valid JT	Job Role	Marketing Audience	Function	Seniority	Confidence Score
230	D365FOパートナー SE	ja	Yes	Embedded Software Engineer	Engineering User	Engineering	Entry	0.7
231	CX推進本部	ja	Yes	No suitable match found				0
232	D365FO社内トレーニング 担当	ja	No					
233	DBエンジニア	ja	Yes	Database Engineer	Data Professional User	Data Professional	Entry	0.9
234	DATA＆AI リーダー	ja	Yes	Director of Artificial Intelligence	Data Professional DM	Data Professional	Director	0.85
235	DATA&AIグループリーダー	ja	Yes	Director of Artificial Intelligence	Data Professional DM	Data Professional	Director	0.85
236	DATA PLATFORM事業部 マネージャー	ja	Yes	Data Manager	Data Professional DM	Data Professional	Manager	0.75
237	DEI推進	ja	No					
238	DB構築	ja	Yes	Database Engineer	Data Professional User	Data Professional	Entry	0.7
239	DEV (研究開発部)	ja	Yes	Research Development Software Developer	Developer User	Developer	Entry	0.9
240	ＤＥＰＵＴＹ　ＤＩＲＥＣＴＯＲ　Ｘイノベーション本部	ja	Yes	Director of Innovation	Product Management DM	Product Management	Director	0.85
241	DC施設技術部 部長	ja	Yes	Facilities Manager	Customer Service and Support DM	Customer Service and Support	Manager	0.8
242	DEV エンジニア	ja	Yes	Software Developer	Developer User	Developer	Entry	0.85
243	DEシニアマネージャー	ja	Yes	Data Science Manager	Data Professional DM	Data Professional	Manager	0.75
244	DEVOPSエンジニア	ja	Yes	Devops Engineer	Engineering User	Engineering	Entry	1
245	DEVOPS エンジニア	ja	Yes	Devops Engineer	Engineering User	Engineering	Entry	0.95
246	DEVOPS推進部	zh-Hans	Yes	Devops Engineer	Engineering User	Engineering	Entry	0.85
247	DI部 その他	ja	No					
248	DISM コマンドの実施のため	ja	No					
249	DFM部MEIグループ	ja	No					
250	DI本部 部長	ja	Yes	Director General	Business Development DM	Business Development	Director	0.75
251	"DIA統括部, エキスパートエンジニア"	ja	Yes	Director Data Management	Data Professional DM	Data Professional	Director	0.7
252	DP技推 一般社員・職員	ja	Yes	Technology Development Engineer	Engineering User	Engineering	Entry	0.6
253	DI部 課長	ja	Yes	Director of Digital Services	Media and Communication DM	Media and Communication	Director	0.7
254	DSPU 一般社員・職員	ja	Yes	No suitable match found				0
255	DS事業部 一般社員・職員	ja	Yes	No suitable match found				0
256	ＤＯ会計アシスタントＭ	ja	Yes	Accounts Payable Clerk	Accounting and Finance User	Accounting and Finance	Entry	0.8
257	DWH・BI基盤係	ja	Yes	Data Warehouse Specialist	Data Professional User	Data Professional	Entry	0.7
258	DT2BU エンジニア	ja	Yes	Test Development Engineer	Engineering User	Engineering	Entry	0.75
259	DTSS 課長クラス	ja	Yes	Director Information Technology Security	Information Technology DM	Information Technology	Director	0.7
260	DWH/BI領域の開発・運用保守	ja	Yes	Data Warehouse Engineer	Data Professional User	Data Professional	Entry	0.8
261	DTPオペレータ	ja	Yes	Desktop Publisher	Information Technology DM	Information Technology	Senior	0.9
262	DX/GX推進	ja	Yes	Marketing Specialist	Marketing User	Marketing	Entry	0.85
263	DX・メディアデザイン局ICTチーム	ja	Yes	Information Technology Analyst	Information Technology User	Information Technology	Entry	0.6
264	DX プラットフォーム部　マネジャー	ja	Yes	Digital Manager	Media and Communication DM	Media and Communication	Manager	0.85
265	DX ディベロッパー	ja	Yes	Developer	Developer User	Developer	Entry	0.85
266	DX-IT本部 IT統括部	zh-Hans	Yes	Information Technology Support Specialist	Information Technology User	Information Technology	Entry	0.75
267	DXアドバイザー	ja	Yes	Vice President of Digital Transformation	Business Development DM	Business Development	VP	0.6
268	DXエンジニア	ja	Yes	Technology Development Engineer	Engineering User	Engineering	Entry	0.85
269	DXコンサルタント	ja	Yes	Technology Consultant	Information Technology DM	Information Technology	Senior	0.8
270	DXコンサルタント　TCR	ja	Yes	Technology Consultant	Information Technology DM	Information Technology	Senior	0.8
271	DXアナリスト	ja	Yes	Director of User Experience	Information Technology DM	Information Technology	Director	0.6
272	DXシステム担当	ja	Yes	Director of Digital Services	Media and Communication DM	Media and Communication	Director	0.7
273	DXサービス推進本部 本部長	ja	Yes	Director of Digital Services	Media and Communication DM	Media and Communication	Director	0.75
274	DXスペシャリスト	ja	Yes	Vice President of Digital Transformation	Business Development DM	Business Development	VP	0.6
275	DXセキュリティ推進室長	ja	Yes	Director of Cyber Security	Security DM	Security	Director	0.85
276	DXコンサルティング	ja	Yes	Director of Digital Services	Media and Communication DM	Media and Communication	Director	0.7
277	DXチーム	ja	No					
278	DXタスクリーダー	ja	Yes	Vice President of Digital Transformation	Business Development DM	Business Development	VP	0.7
279	DXソリューション事業本部 SYMPHONICT事業推進本部 先端技術開発グループ	ja	Yes	Technology Development Engineer	Engineering User	Engineering	Entry	0.7
280	DXソリューション 部長	ja	Yes	Director General	Business Development DM	Business Development	Director	0.85
281	DXソリューション営業本部 部長	ja	Yes	Sales Director	Sales DM	Sales	Director	0.75
282	DXツール推進	ja	Yes	Business Development Specialist	Business Development User	Business Development	Entry	0.7
283	"DXテクノロジー本部 X-TECH DOTANK事業部 プロダクト開発チーム, エンジニア"	ja	Yes	Product Development Engineer	Engineering User	Engineering	Entry	0.9
284	DXマネージャー	ja	Yes	Digital Manager	Media and Communication DM	Media and Communication	Manager	0.85
285	DXユニット ITアーキテクト	ja	Yes	Information Technology Architect	Architect DM	Architect	Senior	0.85
286	DXビジネス革新センタ長	ja	Yes	Vice President of Digital Transformation	Business Development DM	Business Development	VP	0.85
287	DX事業統括本部 MSソリューション部 インフラチーム	ja	Yes	Infrastructure Engineer	Information Technology User	Information Technology	Entry	0.7
288	DX事業部	ja	No					
289	DX事業部 DXソリューション部 部長	ja	Yes	Director of Digital Services	Media and Communication DM	Media and Communication	Director	0.75
290	DXリーダー	ja	Yes	Vice President of Digital Transformation	Business Development DM	Business Development	VP	0.7
291	DX事業統括本部 ビジネステクノロジー事業本部 データインテリジェンス事業部	ja	Yes	No suitable match found				0
292	DX企画の推進	ja	Yes	Project Manager	Program and Project Management DM	Program and Project Management	Manager	0.9
293	DX企画	ja	Yes	Director of Digital Services	Media and Communication DM	Media and Communication	Director	0.7
294	DX人材教育企画	ja	Yes	Manager Training Organizational Development	Human Resources DM	Human Resources	Manager	0.75
295	DX企画室　室長	ja	Yes	Vice President of Digital Transformation	Business Development DM	Business Development	VP	0.75
296	DX企画グループ長	ja	Yes	Vice President of Digital Transformation	Business Development DM	Business Development	VP	0.85
297	DX企画推進部	ja	Yes	Planning Director	Business Development DM	Business Development	Director	0.8
