job_title,matched_standard_role
"Manager, DX Planning & Management Department",Planning Manager
DX Planning Division,Information Technology Generalist
DX Planning Dept.,Information Technology Generalist
"DX Planning Department, Company-wide Transformation Promotion Group",Information Technology Generalist
"General Manager, DX Management Office, DX Planning Department",Information Technology Manager
Support for DX operations,Information Technology Generalist
DX Sales,Sales Specialist
DX Platform Business Division,Information Technology Generalist
"General Manager, DX Office",Office Manager
DX Strategy (Outsourcing),Business Strategist
DX Strategy & Planning,Information Technology Generalist
DX Strategy Office,Business Strategist
DX Strategy Office Sub-Leader,Business Strategist
"General Manager, DX Strategy Office",Information Technology Manager
DX Strategy Promotion Office,Information Technology Generalist
DX Strategy Division,Business Strategist
"General Manager, AAS DX Promotion Department, DX Strategy Headquarters",Information Technology Manager
"General Manager, Cyber Security Division, DX Strategy Division",Cyber Security Manager
"DX Strategy Headquarters, Digital Strategy Department, Digital Process Department, Section 1",Business Strategist
DX Strategy Review Member,Business Strategist
DX Strategy Division Manager,Planning Manager
DX Strategy Dept.,Business Strategist
"General Manager, DX Strategy Department",Information Technology Manager
DX Technology Promotion Officer,Information Technology Generalist
"Director, Sales & Business Development",Director of Business Development
TCR in charge of DX,Information Technology Generalist
TCR in charge of DX,Digital Media Specialist
DX Officer,Information Technology Generalist
DX Promotion,Information Technology Generalist
DX Promotion,Information Technology Generalist
"General Manager, DX Promotion Department",Information Technology Manager
DX Promotion Agent,Information Technology Generalist
DX Promotion Group,Information Technology Generalist
Head of DX Promotion Group,Information Technology Manager
DX Promotion Consultant / DXMO,Information Technology Generalist
DX Promotion Staff,Information Technology Generalist
DX Promotion Center,Information Technology Generalist
DX Promotion Team,Information Technology Generalist
DX Promotion Team Advisor,Information Technology Generalist
DX Promotion Leader,Information Technology Manager
DX Promotion Division,Information Technology Generalist
DX Promotion Planning,Information Technology Generalist
DX Promotion Office,Information Technology Generalist
DX Promotion Office,Information Technology Generalist
"DX Promotion Group, DX Promotion Office",Information Technology Generalist
"Chief, DX Promotion Office",Information Technology Generalist
"General Manager, DX Promotion Office",Information Technology Manager
"General Manager, DX Promotion Office",Information Technology Manager
"DX Promotion Office, Promotion Section 2, General Employees",Marketing Specialist
"Service Lead, DX Promotion Office",Service Delivery Specialist
"Deputy General Manager, DX Promotion Office",Information Technology Manager
"General Manager, DX Promotion Office",Information Technology Manager
"General Manager, DX Promotion Office",Information Technology Manager
DX Promotion Specialist,Information Technology Generalist
DX Promotion Bureau,Information Technology Generalist
"Chief, ICT Engineering Department, DX Promotion Bureau",Information Technology Generalist
DX Promotion Officer,Information Technology Generalist
General Manager of DX Promotion,Information Technology Manager
DX Promotion Support,Information Technology Generalist
DX Promotion Division,Information Technology Generalist
"DX Promotion Headquarters, DX Cross-sectional Planning Office, Expert",Information Technology Generalist
DX Promotion Division: IT Business Promotion Division,Information Technology Generalist
"General Manager, DX Promotion Division",Information Technology Manager
"General Manager, DX Promotion Division",Information Technology Manager
Director of DX Promotion,Director of Information Technology
DX Promoters,Information Technology Generalist
DX Promotion Division,Information Technology Generalist
DX Promotion Dept.,Information Technology Generalist
DX Promotion Dept.,Information Technology Generalist
DX Promotion Dept.　,Information Technology Generalist
"DX Promotion Department, System Officer",Information Technology Generalist
"Head of Advanced IT Group, DX Promotion Department",Information Technology Manager
"General Manager, DX Promotion Department",Information Technology Manager
"DX Promotion Department, Development Group",Developer
"DX Promotion Department, System Development Control, Deputy Investigator",Information Technology Generalist
"Chief Engineer, DX Promotion Department",Information Technology Generalist
General Manager of DX Promotion Department,Information Technology Manager
"General Manager of DX Promotion Department and Group Leader, DX Group, DX Promotion Department",Information Technology Manager
General Manager of DX Promotion Department and Member of the Chairman of the IT Management Department,Information Technology Generalist
DX support (temporary employees),Contract Worker
DX Division,Information Technology Generalist
"DX Division, IT Division",Information Technology Generalist
DX Division Architect,Information Technology Generalist
DX Operations,Information Technology Generalist
DX Corporate Strategy Dept.,Business Strategist
DX Management Section,Information Technology Administrator
"DX Management Department, Assistant Manager",Information Technology Manager
Head of DX,Digital Manager
DX Dept,Information Technology Generalist
DX Division,Information Technology Generalist
DX Development,Developer
DX-related,Information Technology Generalist
"Smart Conservation Promotion Group, E&M Business Division 2 None",Conservationist
EB DX Solution Dept. 2,Information Technology Generalist
EC 通販システム担当 マネージャー,eCommerce Manager
"ECBU Cloud IOT Company, Edge Cloud Solution Department, Sales Group 2 Group Leader",Sales Manager
"ECBU Cloud IOT Company, Edge Cloud Solution Department, Sales Group, Deputy General Manager",Sales Manager
"ECM Department, Engineering Systems Section 4",Information Technology Generalist
EC Site Administrator,eCommerce Specialist
EC site management,eCommerce Specialist
"Head of EC Development-C Group, EC System Engineering Division",Information Technology Generalist
EC Business Division Manager,eCommerce Manager
EC Division System Team Manager,Information Technology Manager
E-Commerce Representative,eCommerce Specialist
EC Promotion Department,eCommerce Specialist
E-commerce operation,eCommerce Specialist
EC Secretariat,eCommerce Specialist
"EP Business Unit System Development Department, Deputy Chief Engineer",Developer
ERP Senior Manager,Information Technology Manager
ERP Developer,Developer
"Associate Manager, ERP Solution Unit",Engineer
"ERP Sales Department, ERP Solution Division",Engineer
ES1 Manager,Information Technology Manager
ESG Promotion,Environmental Specialist
ESG Promotion Office,Environmental Specialist
"ES Division Common Systems Group, Senior Chief",Information Technology Manager
EXPERT,Engineer
EXPERT ENGINEER,Engineer
EXPERT STAFF,Information Technology Generalist
EX Promotion Dept.,Information Technology Generalist
E-Commerce Specialist,eCommerce Specialist
E-Commerce Promotion Department,eCommerce Specialist
"Deputy General Manager, Web Management Group, E-Commerce Promotion Department",Director of eCommerce
"General Manager, DX Division, E-Business Service Company",Information Technology Manager
FA System Business Unit,Business Development Specialist
"Application Development Group, Digital Manufacturing Solution Center, FA Digital Engineering Promotion Department, FA System Business Headquarters",Mechanic and Maintenance Tradesperson
Head of FA Promotion Office,Consultant
FBSC CC Department Core Systems Supervisor,Consultant
FB Data Systems Division,Data Specialist
FE/BE Manager,Information Technology Manager
FITSPLUS WEB Engineer,Web Developer
FLUCT Development Dept.,Developer
FM Solution Dept.,Mechanic and Maintenance Tradesperson
"Assistant Manager, AI Technology Development Department, FORXAI Business Management Department, Group 1",Manager of Artificial Intelligence
GIGA STUDX Promotion Team,Information Technology Generalist
IT Operations Services,Information Technology Generalist
"General Manager of IT Department (formerly: Head of Application Group, IT Department)",Information Technology Manager
Head of IT Development,Information Technology Manager
IT Developer,Developer
IT & DX,Information Technology Generalist
"Application Development Group, Business Application Office, Information Systems Center, IT & Solutions Department",Information Technology Manager
IT & Digital Transformation Promotion Department,Information Technology Generalist
"IT & Digital Transformation Promotion Department, Section Chief, Senior Class",Technology Development Engineer
"IT, Manager",Information Technology Manager
Promotion of IT and DX,Information Technology Generalist
"IT, Digital",Information Technology Generalist
"Corporate Engineer, IT/IS Department",Information Technology Generalist
"IT/Infrastructure (Information Infrastructure, IT Infrastructure)",Information Technology Manager
"IT/Infrastructure (Information Infrastructure, IT Infrastructure) _TCR",Information Technology Manager
TCR in charge of IT/Systems,Information Technology Generalist
"Deputy General Manager, IT/DX Promotion Office",Information Technology Manager
IT & System Planning Dept.,Information Technology Generalist
"General Manager, IT & Systems Department",Information Technology Manager
IT & Digital,Information Technology Generalist
IT & Planning,Information Technology Generalist
"IT/Communications, Information Processing Industry",Information Technology Generalist
IT1 Engineer,Information Technology Engineer
IT-AI Promotion Office,Artificial Intelligence Engineer
ITCLOUD Operations Engineer,Cloud Engineer
ITC Representative,Information Technology Generalist
"General Manager, ITI DIV Division",Information Technology Manager
"Cloud Service Section, IT Solution Division, IT Solution Division, ITMS Headquarters",Information Technology Generalist
"ITOC Division, MBS Department, Section Manager Class",Information Technology Manager
"ITOC Division, General Employees",Office Worker
"ITOC Division, Section Manager Class",Information Technology Manager
IT-OT Innovation Division,3D Artist
ITS Chief Investigator,Information Technology Generalist
"General Manager, ITS Promotion Office",Information Technology Manager
Chief of ITS 2nd Group,Chief Executive Officer
IT Architect,Information Technology Architect
IT Architect,Information Technology Architect
"IT Architect, Project Manager",Information Technology Architecture Manager
IT Architect Expert,Information Technology Architect
IT Architect / Security Engineer,Senior Security Architect
"IT Architect Department, General Employees and Staff",Information Technology Architect
IT Arctect,Information Technology Architect
IT Accounts,Information Technology Generalist
IT Advisor,Information Technology Consultant
IT Advisors,Information Technology Consultant
IT Administrator,Information Technology Administrator
IT Analyst,Information Technology Analyst
IT Instructor,Technology Instructor
IT Integration Dept.,Information Technology Generalist
"Manager, Planning Section, IT Integration Department",Information Technology Manager
IT Infrastructure,Infrastructure Engineer
"Counselor, IT Infrastructure Transition",Information Technology Manager
IT Infrastructure G,Infrastructure Engineer
IT Infrastructure Architect (Infrastructure Architect),Infrastructure Architect
IT Infrastructure Engineer,Infrastructure Engineer
IT infrastructure service part General employees and staff,Infrastructure Engineer
IT Infrastructure Support,Infrastructure Engineer
IT Infrastructure Specialist,Infrastructure Engineer
IT Infrastructure Specialist,Infrastructure Engineer
"IT Infrastructure Security Support Division, General Manager Class",Information Technology Security Manager
IT Infrastructure Manager,Information Technology Security Manager
IT Infrastructure Maintenance,Infrastructure Engineer
IT Infrastructure,Infrastructure Engineer
IT Infrastructure,Infrastructure Engineer
IT Infrastructure Development,Infrastructure Engineer
IT infrastructure construction,Infrastructure Engineer
IT infrastructure construction and services,Infrastructure Engineer
IT Infrastructure Administrator,Infrastructure Engineer
IT Infrastructure Design,Infrastructure Engineer
IT Infrastructure Division Supervisor,Infrastructure Engineer
IT Infrastructure Division Manager,Infrastructure Manager
IT Infrastructure Operations,Infrastructure Engineer
IT infrastructure operation and maintenance,Infrastructure Engineer
IT Infrastructure Operations Management,Infrastructure Engineer
IT Infrastructure Dept.,Infrastructure Engineer
IT Infrastructure,Infrastructure Engineer
IT Experts,Information Technology Generalist
IT Engineer,Information Technology Engineer
IT Engineer,Information Technology Engineer
IT Engineer Other,Information Technology Engineer
IT Engineer General Employee,Information Technology Engineer
IT Engineer Chief/Assistant Manager Class,Information Technology Manager
"IT Engineer, Contract Employee",Information Technology Engineer
IT Engineer Executive Class,Engineer
IT Engineer General Manager Class,Information Technology Manager
IT Engineer Temporary Employee,Information Technology Engineer
IT Engineer Owner,Engineering Manager
IT Engineer Section Manager Class,Technology Manager
IT Engineer General Manager Class,Technology Manager
IT Engineer / General Manager,Technology Manager
IT Engineering,Information Technology Engineer
IT Engineer Sales Support,Engineer
IT Engineering,Engineer
IT Operations,Information Technology Generalist
IT Operations Group,Information Technology Generalist
IT Operator,Information Technology Generalist
IT Customer Service,Customer Service Specialist
IT Governance,Information Technology Generalist
Head of IT Governance Group,Information Technology Manager
IT Group,Information Technology Generalist
Head of IT Group,Information Technology Manager
IT Coordinator,Information Technology Generalist
IT Coordinator,Information Technology Generalist
IT Coordinator,Information Technology Generalist
IT Coordinator,Information Technology Generalist
IT Consulting,Information Technology Consultant
IT Consultant,Information Technology Consultant
IT Consultant,Information Technology Consultant
IT Consultant Representative Director,Chief Executive Officer
IT Consulting,Information Technology Consultant
IT Consulting Division,Information Technology Consultant
IT Consulting Engineer,Information Technology Consultant
IT Consulting,Information Technology Consultant
IT Concierge,Information Technology Generalist
IT Services,Information Technology Generalist
IT Services,Information Technology Generalist
"Medical Information Technologist, Data Security Management, IT Service & Engineering Business Division",Engineer
IT Services (Operations),Information Technology Generalist
IT Services G,Information Technology Generalist
IT Service Engineer,Information Technology Generalist
"IT Service Operations Headquarters, JAPAN IT Service Department, End User Application Operations Group",Information Technology Generalist
IT Service Support,Information Technology Support Specialist
IT Service Desk,Information Technology Help Desk
IT Service Providers,Information Technology Support Specialist
IT Service Manager,Information Technology Manager
IT Service Manager,Information Technology Manager
IT Service Management,Information Technology Support Specialist
IT Service Manager,Information Technology Manager
IT Service Administration,Information Technology Generalist
"Project Manager, IT Services Business Unit",Manager Project Management
IT Service Maintenance,Information Technology Generalist
Promotion of IT services,Information Technology Support Specialist
IT Service Provision,Information Technology Support Specialist
"Individual Contributor/Staff, Sales/Business Development",Business Development Specialist
IT Service Administrator,Information Technology Administrator
IT Services Positions,Information Technology Support Specialist
IT Services Dept.,Information Technology Support Specialist
"IT Infrastructure Team, IT Services Department",Infrastructure Engineer
"IT Service Department, Integration Officer",Information Technology Support Specialist
"IT Service Department, Regular Employee",Information Technology Support Specialist
IT Supporter,Information Technology Support Specialist
IT Support,Information Technology Support Specialist
IT Support,Information Technology Support Specialist
IT Support TCR,Information Technology Support Specialist
IT Support Engineer,Information Technology Support Specialist
IT Support Services,Information Technology Support Specialist
IT Support Staff,Information Technology Support Specialist
IT Support Desk,Information Technology Support Specialist
IT Support Office,Information Technology Support Specialist
IT Support Office,Information Technology Support Specialist
IT Support Personnel,Information Technology Support Specialist
"IT Support Department, General Employee",Information Technology Support Specialist
IT Generalist,Information Technology Generalist
IT Systems,Information Technology System Administrator
IT System Integration,Information Technology System Administrator
IT Systems Engineer,Information Technology System Administrator
IT Systems Group General Employees and Staff,Information Technology Generalist
IT Systems Manager,Information Technology Manager
"IT Systems Administration Headquarters, DX Promotion Group Manager",Information Technology Manager
IT System Planning Group,Information Technology Generalist
In charge of IT Systems Office,Information Technology System Administrator
"IT System Promotion Department, System Infrastructure Team, Section Chief/Chief Class",Infrastructure Manager
IT System Improvement,Information Technology System Administrator
IT Systems Management,Information Technology System Administrator
IT System Administrator,Information Technology System Administrator
IT Systems Division,Information Technology System Administrator
IT System Operation,Information Technology System Administrator
Head of IT,Information Technology Manager
IT Systems Department,Information Technology System Administrator
IT System Development,Information Technology System Administrator
Management and operation of IT systems,Information Technology System Administrator
IT Senior Specialist,Information Technology Generalist
IT School Business,Educational Technology
IT Staff,Information Technology Generalist
IT Strategist,Information Technology Generalist
IT Strategy,Information Technology Generalist
IT Strategist,Information Technology Generalist
IT Strategist,Information Technology Generalist
IT Specialist,Information Technology Generalist
IT Specialist,Information Technology Generalist
IT Sales,Technical Sales Professional
IT Security,Information Technology Security Specialist
IT Security,Information Technology Security Specialist
IT Security Engineer,Information Technology Security Specialist
IT Security Analyst,Information Security Analyst
IT Security Division Engineer,Information Technology Security Specialist
IT Security Technician,Information Technology Security Specialist
IT Software Engineer,Software Engineer
IT Solutions,Information Technology Generalist
IT Solutions,Information Technology Generalist
IT Solution Dept. 1,Information Technology Generalist
IT Solutions Dept. 4,Information Technology Generalist
IT Solutions Engineer,Engineer
Head of IT Solutions Group,Information Technology Manager
Provision of IT solutions internally,Information Technology Generalist
IT Solution Business,Information Technology Generalist
IT Solution Division,Information Technology Generalist
"IT Solution Division, Development Group Department",Information Technology Generalist
"IT Solution Planning Department, General Employees and Staff",Information Technology Generalist
IT Solution Sales,Technical Sales Professional
IT Solutions Office,Information Technology Generalist
IT Solution Promotion Division,Information Technology Generalist
IT Solutions Division,Information Technology Generalist
"Manager, Platform Department, IT Solutions Division",Information Technology Manager
IT Solution Management Department,Information Technology Administrator
IT Solutions Dept.,Information Technology Generalist
"Senior Officer, IT Solution Department",Information Technology Manager
"General Manager, IT Solutions Department",Information Technology Manager
IT Solution Development Division,Information Technology Generalist
IT Team Manager,Information Technology Manager
Person in charge of business reform using IT tools,Information Technology Generalist
Promoting the introduction of IT tools,Information Technology Generalist
IT Developers,Developer
Director of IT,Director of Information Technology
IT Technical Support,Information Technology Support Specialist
IT Digital,Information Technology Generalist
IT & Digital Promotion Dept.,Technology Development Engineer
IT Delivery,Information Technology Generalist
IT Trainer,Technology Instructor
IT Buyer,Purchaser
IT,Information Technology Generalist
IT Department Management/Planning,Information Technology Generalist
IT Staff,Information Technology Generalist
IT Department Security Officer,Information Technology Security Specialist
IT Department Management,Information Technology Administrator
IT Professionals,Information Technology Generalist
Head of IT,Information Technology Manager
Head of IT Security Technology,Information Technology Security Manager
IT Development,Technology Development Engineer
IT Development Professionals,Technology Development Engineer
"IT Development Division, Development Dept. 1, Section Manager",Information Technology Manager
"IT Development Division, Development Dept. 1",Technology Development Engineer
"IT Development Division, Development Dept. 2",Technology Development Engineer
IT Developer,Technology Development Engineer
"General Manager, IT Development Department",Information Technology Manager
IT-related,Information Technology Generalist
IT-related,Information Technology Generalist
IT-related,Information Technology Generalist
IT-related services,Information Technology Generalist
IT Staff,Information Technology Generalist
Gathering IT-related information,Information Technology Generalist
IT Professionals,Information Technology Generalist
IT-related jobs,Information Technology Generalist
IT-related departments,Information Technology Generalist
I General Employees,Information Technology Generalist
JEIS Sales Dept.,Sales Employee
JGG) Advanced Architect Division,Architect
KCS Dept. Engineer,Information Technology Engineer
Director of KDI Toyonaka,Information Technology Manager
KPS Promotion Division,Information Technology Generalist
"LAB, Lead Engineer",Information Technology Engineer
LAN Administrator,Network Engineer
LINUX SUPPORT,Information Technology Generalist
LPSRA Lightning Protection System Technician,Information Technology Generalist
Improving the efficiency of the LSI development tool environment,Information Technology Generalist
LTV Project G,Business Planner
M365 Global Administrator,Administrative Employee
M365 Operations Officer,Information Technology Generalist
"GENERAL MANAGER, MAAS SALES DEPARTMENT",Sales Manager
MANAGER,Information Technology Manager
"MANAGER, DX Solution Development Dept.",Information Technology Manager
IT Planning,Business Planner
"MANAGING DIRECTOR, ACCENTURE SONG / Sales Japan General Manager and Client Group Japan ...",Sales Director
"SOLUTION ARCHITECT, MARKETING PLATFORM DIVISION 2",Architect
MBP/AS Division Development Team Leader,Information Technology Generalist
"MCG Business Division, Assistant Chief/Supervisor",Information Technology Manager
MC Factory Product Design Department 1st Section 2 None,3D Designer
MES (SAP),SAP Administrator
MICROSOFT 365 SYSTEM ADMINISTRATOR,Information Technology Administrator
MICROSOFT ENGINEER,Information Technology Engineer
MIXED REALITY TECHNICAL MANAGER,Virtual Reality Software Engineer
"Manager, MM Division",Information Technology Manager
In charge of MS Solutions,Information Technology Generalist
"MS Department, Section Chief, Supervisor Class",Information Technology Manager
MUFG Trading CMO,Chief Marketing Officer
"Investigator, MUIT Host Platform Dept. (seconded)",Financial Analyst
MUS@SI General Contact/Operation,Information Technology Generalist
"Manager, NAS Development Department",Development Manager
Provision of NETWORK,Network Engineer
NETWORK,Network Engineer
NGO Staff,Social Worker
NM Sales Department Delivery 1G,Information Technology Generalist
"Managing Director, Technology Unit, NORTH STAR MANAGEMENT Co., Ltd.",Managing Director
Network Infrastructure Design,Network Engineer
NW Engineer,Network Engineer
NW-Engineer,Network Engineer
NW Operations,Network Engineer
"Network Development Division, Network Business Promotion Division, Network Business Promotion Division, Network Business Promotion Division",Network Engineer
NW Administrator,Network Engineer
NW Plan,Network Engineer
OA Representative,Information Technology Analyst
OA Support,Information Technology Generalist
OA Officer,Information Technology Generalist
OA Equipment Maintenance,Information Technology Generalist
"Sales of OA equipment, etc.",Information Technology Generalist
OCR Engineer,Information Technology Engineer
OFFICE INSTRUCTOR,Information Technology Generalist
OFFICE365 Division in Charge,Information Technology Analyst
OMO Principal/Advisor,Director of Education
OPENAI Promotion Division,Artificial Intelligence Specialist
"OPERATION DX DIVISION, BUSINESS MANAGEMENT, AI SOLUTION TEAM",Information Technology Generalist
"Deputy Manager, Customer Technical Service Section, OS Division",Customer Service Manager
"OWNER, Sales/Business Development",Sales Director
"PA) Chief, Engineering Department 2",Engineering Manager
PC & Server Operation,Cloud Engineer
"PCMC Headquarters, Information Systems Center, Business Promotion Department, Business Centralized Management Section",Information Technology Generalist
PC Instructor,Information Technology Generalist
PC Consulting,Technology Consultant
PC Support,Information Technology Generalist
Total PC Management,Information Technology Generalist
PC Maintenance,Information Technology Generalist
PC Maintainer,Information Technology Generalist
PC Maintenance,Information Technology Generalist
PC Technology Services,Information Technology Generalist
In charge of PCs,Information Technology Analyst
PC Management Officer,Information Technology Analyst
PC Administrators,Information Technology Generalist
PC Sales,Information Technology Generalist
PC Division,Information Technology Generalist
PC Development,Cloud Engineer
PC-related,Information Technology Generalist
"General Manager, PF Promotion Office",Information Technology Manager
PH) Health & Medical Affairs,Health Specialist
PM Systems Engineer,Engineer
PM (IT),Information Technology Generalist
"PM, Development",Information Technology Generalist
"PM, Engineer",Engineer
"General Manager, PM3-1 Department",Information Technology Manager
PMO Manager,Information Technology Manager
PM Department,Information Technology Generalist
POWERPLATFORM CONSULTANT,Business Intelligence Consultant
PRD Division,Product Developer
"PRD Division, Production Support",Product Developer
"GENERAL MANAGER, PRICING OFFICE",Pricing Specialist
"TECH CONSULTANT, PRODUCTS & CONSUMER DIVISION",Technology Consultant
PROJECT MANAGER,Project Manager
"2G Leader, System Development Office, Communication Business Promotion Department, Consumer Communication Center, PR Strategy Division",Marketing Communications Specialist
PSIRT Manager,Information Technology Manager
PSIRT Reader,Information Technology Manager
"General Manager, PS Business Promotion Department",Sales Manager
"PS Headquarters, C&N Department, 1st Service Department, Section Chief, Chief Class",Information Technology Manager
PS Headquarters General Employees and Staff,Office Worker
RRP Development Center Assistant Chief/Supervisor Class,Information Technology Manager
"GENERAL MANAGER, SAAS DEVELOPMENT DEPARTMENT",Software Application Manager
SALESFORCE CONSULTANT,Information Technology Consultant
SAP BASIS Consultant,Information Technology Consultant
"SAP ERP Development, Operation, and Maintenance",Information Technology Consultant
SAP Experts,Information Technology Consultant
SAP Consultant,Information Technology Consultant
SAP Specialist,Information Technology Consultant
"General Manager, SA Business Unit",Director General
"Director of CS Promotion Department, Quality Control Department, SBS Business Headquarters",Quality Assurance Tester
"SCM Production Division, Engineering Department, Software Engineering Group",Software Engineer
"S-CRED+ Promotion Department, Section Manager",Information Technology Manager
SC Division Edge Device Business Promotion Office General Employees and Staff,Business Development Specialist
"SC Department, Engineering Division",Information Technology Engineer
SDD Manager,Information Technology Manager
"GENERAL MANAGER, SDGS PROMOTION OFFICE",Information Technology Generalist
SE Programmer,Programmer
"SE, Information System",Information Technology Analyst
SE/Developer,Developer
SENIOR EXPERT,Information Technology Generalist
SENIOR SPECIALIST,Information Technology Generalist
SE Section 2 General Employees,Software Engineer
SE Headquarters/Principal Manager,Software Engineer
"SE Department, General Employees and Staff",Software Engineer
"SGE Core Technology Division, Engineer",Information Technology Engineer
"General Manager of SIS Business & Head of Agile Development Center, Managing Executive Officer and CTO",Chief Technology Officer
SI Division Senior Expert,Information Technology Generalist
"Chief, SI Division",Information Technology Manager
"Deputy General Manager, SI Division",Information Technology Manager
"General Manager, SI Division 1",Information Technology Manager
"General Manager, Business Architect Department, SI Development Division",Business Development Manager
"General Manager, Business Planning Office, SMART VISION Business Center",Information Technology Manager
"SMART Factory Development Department, Manager",Business Development Manager
Director of SND,Managing Director
SOFTWAREENGINEERING Senior Analyst,Software Analyst
SOL Planning General Employees and Staff,Business Planner
SPA General Employees and Staff,Office Worker
"Chief of SPD Management Department, Medical Information Technologist",Engineer
"SPF Planning Office, General Employees and Staff",Business Planner
"SPF Development Division, Senior Engineer",Information Technology Engineer
SQL SERVER SUPPORT,Sql Developer
SRE Engineer,Site Reliability Engineer
SRE Members,Site Reliability Engineer
SREUNIT Infrastructure Engineer,Infrastructure Engineer
SRE Engineer/Group Manager,Engineering Manager
SRE Group Development Team,Site Reliability Engineer
SS Dept. 3rd Managed Solution Dept. 6th Group Others,Managed Services Specialist
SX Promotion Office Manager,Business Development Manager
T (Contact Person),Information Technology Generalist
TCR Cloud Business Division 3D Housing CAD Project,Information Technology Analyst
TCR Group Leader,Information Technology Analyst
TCR Group Manager,Information Technology Analyst
TCR SALES & MARKETING UNIT,Information Technology Analyst
Head of TCR Office,Information Technology Manager
TCR Information Systems,Information Technology Analyst
"Executive Officer, Information Systems Department, TCR",Information Technology Executive
"System Operations Group, Information Systems Department, TCR Corporate Administration Division",Information Technology Analyst
"Assistant Manager, Business Systems Office, Business Administration Department, TCR",Information Technology Analyst
TCR Accounting & General Affairs Department,Information Technology Analyst
TCR General Leader,Information Technology Analyst
TCR Investigator,Research Employee
"TCR_MW/AZURE, CORPORATE PLANNING DEPARTMENT, SYSTEMS",Information Technology Generalist
TECH Marketing & Design Planning Department Manager,Marketing Manager
UI Designer,User Interface Designer
URBAN HACKS ENGINEER,Information Technology Generalist
UX/UI Designer,User Interface Designer
VFX Supervisor,Industrial Designer
"VICE PRESIDENT, MARKETING",Vice President Marketing
"VICE PRESIDENT, SALES/BUSINESS DEVELOPMENT",Vice President of Sales
WDEV Miscellaneous,Web Developer
WEB PC Product G Expert Position,Software Developer
WEB CONTENT STRATEGY,Content Developer
WEBSITE,Web Developer
