Lead ID,jobtitle,LS Title,LS Company,LS Lead Job Functions,LS Company Industry,LS Lead Department
19,"CXO, Marketing","Consumer Insight Division, Chief Officer",GLICO,Customer Experience; Customer Interactions; Customer Intelligence; Marketing Analytics; Customer Management,Manufacturing,Marketing
20,Head of Data Science,Head of Data Science,takeda,Data Science; Data Management,"Healthcare, Pharmaceuticals, & Biotech",R&D
21,Senior Packaging Researcher,Senior Packaging Researcher,Kao Corporation,Research; Compliance; Healthcare,Manufacturing,R&D
22,Vice General Manager,本部長,"Japan Business Systems, Inc.",,Software & Internet,Management
23,"Manager, Infrastructure & Technology Management",Developer Relation Engineer,"Recruit Co.,Ltd.",Engineering; Software Development; Media Marketing; Technology & Innovation; Social Media; Product; Digital Marketing; Social Media Marketing; Mobile; Application Development; Mobile Applications; Network Solutions; Information Technology and Services; Mobile Device; Startup; Web Services; Threat Management,Software & Internet,R&D
24,"Manager, Cybersecurity & Identity/Access Management",Assistant Manager,Keyence,,Computers & Electronics,
25,"Individual Contributor/Staff, Customer Service/Field Support",Customer Success Operations Team Lead,"SmartHR, Inc.",Customer Service; Customer Success; Customer Experience; Account Management; Network Management; Education; Recruitment,Software & Internet,Operations
26,"Director, Engineering",Director Of Engineering,Universal Studios Japan(USJ LLC),Engineering; Software Development,Media & Entertainment,R&D
27,"Individual Contributor/Staff, Chief Officer",Investor Relations Manager,AGC,Investor Relations; Investment Management,Manufacturing,Finance
28,"Owner, Chief Officer",Partner,Nagashima Ohno & Tsunematsu,Partner; President; The Board; Arbitration; Education; Chairman,Business Services,Management
29,"CXO, Program and Project Management",Chief Operation Officer,"Toyo Gosei Co., Ltd.",Operations Management,Manufacturing,Operations
30,"Manager, Sales",International Sales Manager,Nidec Press & Automation,Sales Management,Manufacturing,Sales
31,IT Department Manager,IT Department Manager,SC,information_technology,Real Estate & Construction,
32,"Manager, Information Technology",Channel Sales Account Manager,Huawei,"Customer Success; Account Management; Channel Sales; Marketing Strategy; Business Marketing; Digital Marketing Strategy; Materials; Information Security; Product; Digital Marketing; B2B Sales; Design; Brand Marketing; B2B Marketing; Retail; Corporate Finance; B2B; Brand Management; Supplier Management; Advertising; Culture; Change Management; Technology & Innovation; Competitive Intelligence; Market Development; Product Development; Customer Experience; Marketing Management; Customer Intelligence; Logistics; Business Strategy; Mergers and Acquisitions; Accounting; Social Media; Corporate Governance; IT Process Management; Process Improvement; Mergers; Research; Branding; Marketing Analytics; Risk Management; Corporate Development; Software Development; Investments; Digital Technology; Pricing; Agile; Acquisitions; Business Process Management; Marketing Research; Integration Management; Revenue Management; Mobile; Customer Management; Governance, Risk and Compliance; Audit; Brand Development; Project Management; Customer Interactions; Mobile Device; Startup",Computers & Electronics,Sales
33,Engineering manager,"Senior Manager, Systems Engineering",Apple,Systems Management; Engineering; Systems Architecture & Development,Computers & Electronics,Information Technology
34,"Manager, Information Technology",General Manager,Xacti Corporation,General Manager,Computers & Electronics,Management
35,"Vice President, Sales",Account General Manager,Tokyo Electron Limited,General Manager,Computers & Electronics,Management
36,"Entry, Engineering",System Engineer,NSD Pvt Ltd,Systems Management; Engineering; Software Development; Systems Architecture & Development,Computers & Electronics,Information Technology
37,General Manager,General Manager,komatsu ltd.,General Manager; Accounting; Production; Materials; Budget Management; Records Management; IT Process Management; Business Performance; Performance Management; Manufacturing; Investment Management; Culture; Cash Flow,Manufacturing,Management
38,Other,Carrier Sales Manager,Apple,Sales Management,Computers & Electronics,Sales
39,"Director, Infrastructure & Technology Management",Management Director,"MIMAKI ENGINEERING CO., LTD.",Accounting; Network Management,Computers & Electronics,
40,"Associate Director, Global Secuirty","Associate Director, Global Secuirty",MSD,,"Healthcare, Pharmaceuticals, & Biotech",
41,"Senior, Information Technology",Partner,Anderson Mori & Tomotsune,Partner,Business Services,Business Development
42,"Director, Information Technology",Chief Information Officer (CIO),Komori UK Ltd,Data Management; IT Management,Manufacturing,Information Technology
43,"Individual Contributor/Staff, Operations","Professor, Dept. Of Global Studies",Kyoto University of Foreign Studies,Education; International Law; Business Process Management; Strategy Development; Coaching; Public Relations; Social Media; IT Policy; Communications; Corporate Law; Curriculum Development; Design; Software Development; Writing,Education,
44,"Individual Contributor/Staff, Operations/Project Management",Portfolio Analyst,nomura,Trading and Securities,Financial Services,Finance
45,"Manager, Finance",???,Sojitz,,Manufacturing,
46,"Individual Contributor/Staff, Information Technology",Technical Coordinator - Universal Creative,Universal Studios Japan(USJ LLC),Creative; Creative Services,Media & Entertainment,
47, -, -,Sumitomo Corporation,,Agriculture & Mining,
48,"VP, Marketing",Optical system Engineer,Nikon,Systems Management; Engineering; Software Development; Systems Architecture & Development,Computers & Electronics,Information Technology
49,"Manager, Other","Manager, Corporate Management Planning",Kuraray,Software Development; Customer Success; Personnel Management; Workforce Management; HR Management; Employee Management; Performance Management; Talent Management; Training and Development; Corporate Development; Recruitment,Manufacturing,
50,Corporate Planning,Us Cpacisa Deputy Head Of Audit Dept.,Nikko Asset Management Group,Audit; Accounting,Financial Services,Finance
51,"Individual Contributor/Staff, Information Technology Support/Manager",AI Architect,Cogent Labs,Civil Engineering; Development & Architecture; Machine Learning; Learning; Network Management,Software & Internet,R&D
52,"Director, Sales","Deputy Division Director, Sales and Marketing Division",J-Stream Inc.,,Software & Internet,Sales
53,"Manager, Infrastructure & Technology Management",Accounting Manager at Nitto Denko Corporation,（有）日東,Accounting,,Finance
54,Solution Coordinator,Solution Coordinator,Nishimura & Asahi,International Law; Business Intelligence; Customer Success; Forensics; Technology & Innovation; Network Management; Litigation; Data Management; Documentation; Information Security; Big Data; Training and Development; Security Management; Corporate Law; Software Development; Storage; Computer Forensics; eDiscovery; Database Applications,Business Services,Information Technology
55,"Manager, Marketing/Sales",Sales Associate,MUJI Canada Limited,,Retail,Sales
56,"Director, Information Technology",Research Director,Imagica Group Inc.,Research; Cloud Computing; Solutions Development; Civil Engineering; Development & Architecture; Cloud Infrastructure,Media & Entertainment,R&D
57,"Manager, Information Technology",Professional | Architect | Masterplanner | Project Manager | Employee Trainer,Nikken Sekkei Ltd,Project Management; Civil Engineering; Training and Development; Development & Architecture; Urban Planning; The Board; Landscape; Publications; Public Relations; Records Management; Security Management; Chairman; Design; Engineering; President; Journalism; Urban Design,Real Estate & Construction,Product Management
58,"Manager, Operations/Project Management",Chief,KAMEI GmbH & Co. KG,,Manufacturing,Management
59,"Director, Information Technology",Head of Information Science & Technology,ihi corporation,Data Science; Technology & Innovation; Learning; Data Management; Machine Learning,Wholesale & Distribution,Information Technology
60,CEO Founder,CEO Founder,e-lentillas.com,Senior Management; Founder; Media Marketing; Marketing Strategy; Public Relations; Network Management; Social Media; Communications; Information Systems; Blogging; Digital Marketing; Social Media Marketing; Community Management; Retail; eCommerce; Marketing Management; Information Systems Management; Advertising,Retail,Management
61,Internal audit,Senior Manager,Kao Asia & Oceania,,Retail,
62,"Entry, Accounting and Finance","Financial Governance Office, Leader",lixil,"Information Security; Governance, Risk and Compliance; Business Strategy; Audit; Financial Reporting; Financial Analysis; Internal Control; Accounting; Revenue Management; Reporting; Financial Management",Real Estate & Construction,Administration
63,"Individual Contributor/Staff, Engineer",Field Robotic Software Engineer,Rapyuta Robotics,Engineering; Software Development; Software Engineering; Systems Management; Open Source; Computer Programming; Machine Learning; Cloud Infrastructure; Learning; Design; Cloud Computing; Project Management; Agile; IT Management; Culture,Manufacturing,R&D
64,"Manager, Operations",課長/Manager,Kanematsu Ventures Inc,,Financial Services,Administration
65,"Manager, Developer/Engineering",General Manager Engineering,Excite Japan,engineering,Software & Internet,Management
66,"Entry, Information Technology",Software Engineer @ Rakuten Travel,SmartNews,Engineering; Software Development; Software Engineering,Software & Internet,Information Technology
67,Lead Graphic Designer,Graphic Designer,Digital Garage,Graphics; Design; Graphic Design,Software & Internet,R&D
68,"Individual Contributor/Staff, Operations/Project Management",SE,SCSK Corporation,,Software & Internet,
69,NotAvailable,Software Engineer,（株）エネルギア・コミュニケーションズ,Engineering; Software Development; Software Engineering; Network Management,Telecommunications,Information Technology
70,一般,一般,Tkc,,Computers & Electronics,
71,"Owner, Marketing/Sales","Director,inorganic material division",agc group,Materials; Engineering; Simulation Software,Manufacturing,
72,"VP, Information Technology","Vice President, East Asian business development",JCB／株式会社ジェーシービー,President; Software Development; Business Strategy; Strategy Development,Financial Services,Business Development
73,Engineer 1,Engineer 1,"JGC Philippines, Inc.",Engineering; Software Development; Systems Management; Operational Efficiency; Assurance; Project Engineering; Compliance; Accounting; CAD; Architectural Planning; Quality Management; Technical Services; Investment Management; Drafting; Implementation & Support; Storage; Project Management; UX/UI; Asset Management; Performance Management; Information Technology and Services; Quality Assurance; Web Management,Energy & Utilities,R&D
74,"Individual Contributor/Staff, Operations/Project Management",Attorney at Law,Nagashima Ohno & Tsunematsu,,Business Services,Legal
75,"Individual Contributor/Staff, Data/Business Intelligence",アプリケーションエンジニア,Makino USA Inc.,,Manufacturing,
76,"Director, Operations/Project Management","General Manager, Deputy",Marubeni,General Manager,Business Services,Management
77,"Individual Contributor/Staff, Marketing/Sales",Marketing,GS Yuasa,,Financial Services,Marketing
78,ITS,主任,Kyndryl Holdings,,Business Services,
79,"Individual Contributor/Staff, Marketing",Media Producer at Digital Media Promotion Department,HAKUHODO DY media partners,Digital Technology; Digital Media; Digital Marketing,Business Services,Marketing
80,"Individual Contributor/Staff, Information Technology",Senior Airline Account Executive - Aviation Sales & Marketing,Kansai Airports,Account Management; Software Development; Bookkeeping; Accounting; Business Performance; Performance Management,Manufacturing,Sales
81,"Director, Sales","Executive Director, Account Services",ADK,,Business Services,Management
82,"Individual Contributor/Staff, Information Technology",Software Engineer,Treasure Data,Engineering; Software Development; Software Engineering; Business Intelligence; Visualization; Big Data Analytics; Network Management; Data Management; Information Security; Big Data; Security Management; Product Development; Cloud Computing; Storage; Unity; Project Management; Data Analysis; Agile; Web Development,Software & Internet,R&D
83,Senior Manager,PMO,Nissan Motor Corporation,Project Management,Manufacturing,
84,"Individual Contributor/Staff, Chief Officer",Manufacturers Sales Representative,ihi corporation,Systems Management; Integration Management; Market Trends; Systems Integration; Communication & Collaboration; Supply Chain Management; Marketing Analytics; Supply Chain; Logistics,Wholesale & Distribution,Sales
85,"Entry, Sales","GM, Management Systems HQ (Global IT/DX HQ)",TDK,Systems Management; Global IT; General Manager; Learning; Engineering; Software Development; Machine Learning,Computers & Electronics,Information Technology
86,"Individual Contributor/Staff, Operations/Project Management",Foreign Lawyer,Nagashima Ohno & Tsunematsu,Acquisitions; Corporate Finance; Mergers and Acquisitions; Equities; Investments; News; Journalism; Mergers; Investment Management; Venture Capital,Business Services,
87,"Owner, Chief Officer",General Manager,Yamaha Corporation of America,General Manager; Engineering,Media & Entertainment,Management
88,Manager,Manager,Mitsubishi Electric Information Network Corporation,Cloud Security; Cloud Computing; Cyber Security; Customer Experience; Digital Technology; UX/UI; SaaS; Information Security; User Experience; Security Management; Virtualization; Data Center,Software & Internet,
89,"Vice President, Human Resources",VP of HR,Universal Studios Japan(USJ LLC),,Media & Entertainment,Human Resources
90,"Director, Sales","Head of Commercial Excellence, Japan Oncology Business Unit",Takeda,Medicine; Oncology; Marketing Strategy; Marketing Research; Business Intelligence; Segmentation; Competitive Intelligence; Market Development; Budget Management; Research; Market Intelligence; Marketing Analytics; Customer Management; Design; Customer Experience; Customer Interactions; Customer Intelligence; Information Technology and Services; Advertising; Pharmaceuticals,Manufacturing,Sales
91,QA Assistant Manager,QA Engineer,Mipox Corporation,Engineering; Software Development; Quality Assurance; Data Analysis; IT Process Management,Manufacturing,R&D
92,"Individual Contributor/Staff, Infrastructure & Technology Management",Infrastructure Developer / Site Reliability Engineer,Nintendo,Engineering; Software Development; Infrastructure Management; Web Management; Systems Management; Test Automation; Traffic Management; Network Management; Quality Management; Cloud Infrastructure; Operating Systems; Product Development; Design; Configuration Management; Implementation & Support; Cloud Computing; Project Management; Agile; Network Solutions; Public Cloud; Infrastructure Engineering; Quality Assurance; IT Management; Gaming; Web Services,Computers & Electronics,R&D
93,"Individual Contributor/Staff, Infrastructure & Technology Management",Senior Software Engineer,"SmartNews, Inc.",Engineering; Software Development; Software Engineering; Systems Management; Front End; Network Management; UX/UI; Systems Architecture & Development; Infrastructure Management; Branding; Distributed Systems; Web Development,Software & Internet,R&D
94,"Individual Contributor/Staff, Operations/Project Management",Senior Instrumentation Engineer,JGC Singapore Pte. Ltd.,Engineering; Software Development; Drilling; Design; Systems Management; Project Engineering; Construction; Project Management; IT Process Management; Solutions Design; Recruitment; SCADA,Energy & Utilities,R&D
95,"Individual Contributor/Staff, Chief Officer",Inside Sales Associate,"BizReach, Inc.",Inside Sales,Business Services,Sales
96,"Owner, Chief Officer",Head of Sales at Kuraray Co Ltd,Kuraray,,Manufacturing,Sales
97,Senior,Dept Manager,Hisys,Business Strategy; Strategy Development; Business Partnering; Network Management; Business Marketing; Competitive Intelligence; SaaS; Product Marketing; Managed Services; Partnerships; Product; Software Development; Cloud Computing; Hosted Services; Startup,Computers & Electronics,
98,"Chief Officer, Infrastructure & Technology Management","Senior Vice President, Division COO, Real Estate Business Div.",Mitsubishi Corporation,President; Real Estate; Operations Management,Financial Services,Operations
99,Manager,Manager,Accenture,,Business Services,Management
100,"CXO, Information Technology",Section Chief Architect,PT. Takenaka Indonesia,Civil Engineering; Development & Architecture; Design; Urban Planning; Landscape; Urban Design; Architectural Design; Research; Building Information Modeling; Interior Design; Landscape Architecture,Real Estate & Construction,Administration
101,"Owner, Marketing/Sales",Member Board Of Directors,MISUMI Group Inc.,The Board,Manufacturing,Management
102,"Manager, Program and Project Management",Engineer Civil,Nippon Koei,Engineering; Software Development,Real Estate & Construction,R&D
103,"Individual Contributor/Staff, Marketing/Sales",海外営業職,Sumitomo Electric,,Manufacturing,
104,"Individual Contributor/Staff, Operations/Project Management",人材開発担当者,INPEX,,Energy & Utilities,
105,"Vice President, Marketing/Sales","Vice President, Marketing - Americas",Omron,President; Business Strategy; Team Management; Marketing Strategy; Strategy Development; Business Marketing; Product Marketing; Product; Research; Sales Management; Corporate Development; Software Development; Implementation & Support; Account Management; Marketing Research; Customer Success; Sales Operations; Competitive Intelligence; Market Development; Telecommunications; Mobile; Supply Chain; Concept Development; Product Development; Project Management; Marketing Management; Writing; Supply Chain Management; Mobile Device,Computers & Electronics,Marketing
106,Tokyo Architectural Construction Branch Business Promotion Department Manager,Tokyo Architectural Construction Branch Business Promotion Department Manager,Kajima,Construction; Finance; Global Infrastructure; IT Infrastructure,Real Estate & Construction,
107,"Individual Contributor/Staff, Data/Business Intelligence",DB,lixil,,Real Estate & Construction,
108,C# Programmer,C# Programmer,"SANYO DENKI CO., LTD.",Software Development; Procurement; Hardware Development; Systems Management; Network Management; APIs; Materials; Troubleshooting; Supply Chain; IT Infrastructure; Operating Systems; Network Infrastructure; Supply Chain Management; Quality Assurance,Computers & Electronics,R&D
109,"Manager, Operations",Operation Manager at JVCKENWOOD Corp.,JVCKENWOOD,Operations Management; Supply Chain Management; Supply Chain,Manufacturing,Operations
110,"Manager, Information Technology",Architect,Nikken Sekkei Ltd,Civil Engineering; Development & Architecture; Design; Engineering; Infrastructure & Operations; Project Management; Infrastructure Management; Design Management,Real Estate & Construction,R&D
111,"Manager, Marketing/Sales",Marketing Manager / Resarcher,,Payables Management,,Marketing
112,Director,Director,komatsu ltd.,Business Strategy; Marketing Strategy; Customer Service; Strategy Development; Project Management; Mobile Applications; Social Media; Communications; Online Marketing; Digital Marketing; Mobile,Manufacturing,
113,Senior IT Specialist,IT Specialist,Marriott,Technology & Innovation; Systems Management; Customer Support; Software Development; Desktop; Network Management; Product Security; Technical Support; Security Management; IT Support; Server Administration,"Travel, Recreation, and Leisure",Information Technology
114,"Manager, Sales",Senior Manager - Sales Operations & Reporting,Kose,Sales Operations; Reporting; Network Management,Business Services,Sales
115,"Manager, Infrastructure &amp; Technology Management","General Manager, Business Legal Department",Nitto Denko Corporation,General Manager,Computers & Electronics,Management
116,"Chief Officer, Chief Officer","Managing Director at Accenture Strategy & Consulting, Strategy Group / Utilities and Energy lead",Accenture,Business Strategy; Change Management; Acquisitions; Strategy Development; Customer Service; Mergers and Acquisitions; Public Relations; Accounting; Network Management; Communications; Mergers; Corporate Development; Recruitment; Corporate Finance; Software Development; Business Consulting; Project Management; Digital Technology; Relationship Management; Advertising; Startup; CRM,Business Services,Management
117,"Director, Information Technology","Senior Manager, Business Development, Derivatives",JAPAN EXCHANGE GROUP,Software Development; Options; Financial Risk Management; Network Management; Trading; Risk Management,Financial Services,Business Development
118,"Manager, Sales",New Business Development Manager,keyence corporation,Software Development; Corporate Development; Employment; SEM; SEO,Computers & Electronics,Business Development
119,"Individual Contributor/Staff, Infrastructure & Technology Management",Researcher,astellas pharma us,Research; Medicine; Biomedicine; Microscopy; Clinical Research; Molecular Biology; Network Management; Pharmacology; Drug Development; Nanotechnology; Culture; Pharmaceuticals,"Healthcare, Pharmaceuticals, & Biotech",R&D
120,Manager,Manager,astellas pharma inc.,,"Healthcare, Pharmaceuticals, & Biotech",
121,"Individual Contributor/Staff, Developer/Engineering/Data Science",Chief Building Engineer,Hokkaido Prefectural Government,Engineering; Software Development,Government,R&D
122,"Director, Sales",Sales Department,Komori Corporation,,Manufacturing,Sales
123,aa,Account Run Lead (japanese speaker),dxc,Technology & Innovation,Software & Internet,Sales
124,"Director, Accounting and Finance",General Manager,Anritsu,General Manager,Computers & Electronics,Management
125,"Vice President, Finance",Controller/Accounting Manager,TOYOBO,Audit; Accounting; Business Strategy; Business Process Management; Financial Reporting; Financial Analysis; Strategy Development; Budget Management; Revenue Management; IT Process Management; Process Improvement; Reporting,Computers & Electronics,Finance
126,business planning,business planning,Rakuten Group,Business Strategy,Retail,Business Development
127,"Manager, Marketing",Assistant Manager of Web Marketing Group,keyence corporation,Online Marketing; Digital Marketing,Computers & Electronics,Marketing
128,"Manager, Finance","Finance Business Partner, EUCAN Finance",Takeda,Partner; Audit; Accounting; Financial Planning; Financial Management,"Healthcare, Pharmaceuticals, & Biotech",Finance
129,"Individual Contributor/Staff, Operations",Chief of Staff,United Nations University,Senior Management,Business Services,
130,"Manager, Operations/Project Management",Sales Manager,Sekisui Chemical,Sales Management,Energy & Utilities,Sales
131,"Individual Contributor/Staff, Chief Officer",Global R&D,Lion Corporation Japan,,Manufacturing,R&D
132,"Chief Officer, Chief Officer",Chief Product Supply Officer,Santen,Product; Supply Chain Management; Supply Chain; Systems Management; Biotechnology; Quality System; Drug Regulation; Lifesciences; Biology; Research; Supply Chain Operations; Corporate Development; Engineering; Software Development; Clinical Research; Production; Executive Management; Senior Management; Shipping; Manufacturing; Technology Transfer; Validation; Technology & Innovation; Freight Management; Scheduling; Medicine; Biomedicine; Project Management; Quality Assurance; Management Team; Pharmaceuticals; Logistics,Manufacturing,Product Management
133,"Manager, Marketing/Sales",Chief Marketing Manager,RIZAP株式会社 - 法人,Media Marketing; Public Relations; Project Management; Social Media; Network Management; Marketing Management; Communications; Online Marketing; Digital Marketing; Sales Management; Social Media Marketing; Advertising,"Healthcare, Pharmaceuticals, & Biotech",Marketing
134,"Director, Marketing","Global Capability Services Director, Digital, Innovations",AstraZeneca,marketing,"Pharmaceuticals, Biotechnology & Life Sciences",
135,"Owner, Chief Officer",Partner,Anderson Mori & Tomotsune,"Partner; Technology & Innovation; Investments; Corporate Governance; Information Security; Governance, Risk and Compliance",Business Services,Management
136,CAD Engineer,Assistant Logistics Manager,Daikin Vietnam,Logistics; Inventory Management; Transportation; Data Analysis; Research,Manufacturing,Operations
137,"Owner, Operations/Project Management",BIM Manager / Coordinator,Nikken Sekkei Ltd,Building Information Modeling; Design; Architectural Design; Research,Real Estate & Construction,
138,"Individual Contributor/Staff, Information Technology","Rigaku - Application Scientist, Computed Tomography",Rigaku,Software Development; Scientific Computing,Computers & Electronics,R&D
139,Deputy Manager,Globa Information and Communications Technology Partner,NTT DATA Services,Technology & Innovation; Communications; Communications Systems; Partner,Software & Internet,Information Technology
140,"Individual Contributor/Staff, Engineer",Lead Design Engineer,Piolax,Design; Engineering; Software Development; Design Engineering; Product Development; Records Management; IT Process Management; Product; Telecommunications,Manufacturing,Product Management
141,"Manager, Marketing/Sales",UC global marketing assitant manager,Yamaha Corp,Global Marketing,Financial Services,Marketing
142,"Director, Information Technology",enginner,Fujikura Ltd.,,Computers & Electronics,Operations
143,Senior Specialist,Senior Specialist,Rakuten,Customer Support; Workforce Management; Employee Management; IT Process Management; Portal Management; HR Strategy; Talent Management; IT Support; Recruitment,Retail,
144,"Individual Contributor/Staff, Finance",Accountant,,Accounting,,Finance
145,"Director, Information Technology",Technical Director,Universal Studios Japan(USJ LLC),IT Management,Media & Entertainment,Information Technology
146,"Director, Finance","Senior Vice President, Head of Private Equity Investments",Meiji Yasuda America Incorporated,President; Equities; Investments; Investment Management,Financial Services,Finance
147,"Manager, Human Resources",Canada Goose Japan- Human Resources Manager,TDK,ERP; Resource Planning; HR Management; Resource Management; Marketing Strategy; Business Strategy; Advertising Sales; Marketing Research; Communications; Market Development; Digital Marketing; Research; Corporate Development; Labor Management; Software Development; Marketing Management; Market Planning; Online Marketing; Advertising; Startup,Computers & Electronics,Human Resources
148,"Owner, Chief Officer",Engineer,Obayashi,Engineering; Software Development,Real Estate & Construction,R&D
149,"Manager, Infrastructure & Technology Management",Senior Finance Manager,takeda,Financial Management; IT Audit; Business Process Management; Assurance; Financial Analysis; Financial Reporting; Internal Control; Accounting; Revenue Management; IT Process Management; Process Improvement; Reporting; Risk Management; Audit; Financial Risk Management; Taxes; Business Continuity,"Healthcare, Pharmaceuticals, & Biotech",Finance
150,"Individual Contributor/Staff, Marketing/Sales","Pre Sales and Engineering, Multi Cloud",TD SYNNEX,Engineering; Cloud Computing; Pre Sales; Water; Systems Management; ERP; Coaching; Social Media; Network Management; Systems Architecture & Development; Product; Commerce; Digital Marketing; Development & Architecture; IT Support; Cloud Infrastructure; Design; Learning; Application Development; Software Development; Customer Support; Digital Technology; Education; Digital Media; Trading; Emarketing; Customer Success; Technology & Innovation; Civil Engineering; Communications; Security Management; Training and Development; Cloud Engineering; Mobile; Solutions Design; Medicine; Mobile Device; Gaming; Web Services,Computers & Electronics,Sales
151,"Manager, Information Technology","Manager, Operations Finance","amkor technology, inc.",Accounting,Energy & Utilities,Finance
152,"Director, Human Resources",Head of Intellectual Property & Design Center,Yokogawa,Design; Intellectual Property; Business Strategy; Business Partnering; Strategy Development; Mergers and Acquisitions; Network Management; Litigation; Contract Negotiation; Partnerships; Telecommunications; Mobile; Investment Management; Application Development; Engineering; Software Development; Writing; Mobile Device; Due Diligence; Startup; Contracts; Venture Capital; Electrical Engineering,Manufacturing,Legal
153,"Director, Human Resources","HR Leader, Talent Management, Enablement Team Japan",lixil,Talent Management; Customer Success; Coaching; Succession Management; Training and Development; Corporate Development; Learning; Software Development; Education; HR Consulting; Workforce Management; Employee Management; Performance Management,Real Estate & Construction,Human Resources
154,"Individual Contributor/Staff, Information Technology",Senior IT Specialist / Project Manager / Product Owner,Starbucks,Project Management; Technology & Innovation; Product; Senior Management,Retail,Information Technology
155,"Entry, Sales",Sales Representative,Shin-Etsu,Medicine,Energy & Utilities,Sales
156,"Manager, Information Technology","Technical Manager, Top coat","Kansai Paint Co.,Ltd",IT Management,Manufacturing,Information Technology
157,"Individual Contributor/Staff, Operations/Project Management",キャリアコンサルタント,株式会社パソナ (Pasona Inc.),,Business Services,
158,Engineer,Associate Manager,Ntt Data,Wireless; Systems Management; Network Engineering; B2C Sales; Network Management; B2B Sales; Mobile; B2B Marketing; Engineering; Software Development; B2B; Project Management; Mobile Applications; B2C Marketing; Performance Management; Electrical Engineering,Software & Internet,Management
159,Director,"Director, Public Sector, Gartner Consulting Japan",Gartner,Network Management,Computers & Electronics,
160,"Manager, Information Technology",PG,"GREE, Inc.",,Software & Internet,
161, --, --,Kao Corporation,,Manufacturing,
162,Engineer,Engineer,SoftBank Group,Engineering; Software Development; Software Deployment; Technology & Innovation; SaaS; Product; Training and Development; IT Support; Technical Writing; Business & Technology Solutions; Customer Support; Cloud Computing; Virtual Machines; Technology Training; Technical Support; Life Cycle Management; Network Solutions; Journalism; Database Applications; Virtualization,Financial Services,R&D
163,"Manager, Infrastructure & Technology Management",Department Head,JGC,Team Management; Customer Service; Application Support; IT Support; Service Management; IT Infrastructure; Engineering; Customer Support; IT Development; Software Development; Infrastructure Security; UX/UI; Production; Infrastructure Management; Technical Support; Data Storage; Security Systems; Construction; Technology Infrastructure; Technology & Innovation; CAD; Security Management; IT Operations; Project Management; Customer Experience; Career Development; Graphic Design,Energy & Utilities,
164,"Individual Contributor/Staff, Chief Officer",Game System Design Staff,Nintendo,Design; Systems Management; Gaming; Solutions Design; Product Development; Software Development; Customer Experience; Project Management; UX/UI; User Interface; Agile; User Experience; Game Development; IT Management,Software & Internet,Information Technology
165,"Manager, Finance",Power Management Engineer,RICOH Company Limited,Engineering; Software Development,Software & Internet,R&D
